기사id,카테고리,제목,날짜,요약문,원문
0,NULL,기시다 후미오 일본 총리 당선,2021/10/01,"미국은 가까이 중국은 멀리: 미국과 계속 친하게 지내고, 중국을 견제하는 데 신경 쓸 것 같아요. 특히 이번 선거 때 중국에 대해서는 유독 강경한 성향을 드러내 중국은 벌써 신경이 곤두섰다고.",https://www.yna.co.kr/view/AKR20210929177100083
0,NULL,기시다 후미오 일본 총리 당선,2021/10/01,"당장 크게 달라지긴 어려울 것 같아요. 아베 전 총리보다는 갈등을 잘 안 만들려는 성격이지만, 지금처럼 우리나라와 일본 사이가 틀어지게 만든 여러 문제(예: 강제노역 판결, 수출규제 등)에는 비슷한 태도를 보이기 때문.",https://www.yna.co.kr/view/AKR20210929115900504?section=search
0,NULL,기시다 후미오 일본 총리 당선,2021/10/01,"
그는 2015년 외무상을 할 때, 박근혜 정부와 맺은 ‘한일 위안부합의’를 이끌기도 했는데요. 문재인 정부가 이 합의를 사실상 백지화하면서, 우리나라에 불만을 갖고 있다는 얘기도 있고요 😠. 그의 입장에선 “일본이 너무 많이 양보한다”는 아베 총리를 설득해가며 어렵게 맺은 합의인데, 한국이 깼다고 보는 것.",https://terms.naver.com/entry.naver?docId=5144314&cid=46624&categoryId=46624
1,코로나19,정부 백신 패스 도입 논의,2021/10/01,“백신 인증서 없으세요? 그럼 못 들어오세요.” 식당 들어갈 때 이런 말을 듣는다면 어떨까요? 앞으로는 우리나라에서 들을 수도 있어요. 정부가 ‘백신 패스’ 도입을 검토 중이거든요.,https://go.seoul.co.kr/news/newsView.php?id=20210930011022
1,코로나19,정부 백신 패스 도입 논의,2021/10/01,맞아요. 그래서 반대하는 목소리도 있어요 🤔. ,https://www.hankookilbo.com/News/Read/A2021092917010003092
1,코로나19,정부 백신 패스 도입 논의,2021/10/01,"차라리 인센티브를: 당장 시행하기에는 국민이 설득을 많이 안 됐어. 접종을 끝낸 사람이 식당·카페에 더 오래 머물 수 있게 하는 등 인센티브를 주는 방향으로 가야지, 불이익을 주면 반발만 커질 거야. ",https://www.hani.co.kr/arti/society/health/1013283.html
1,코로나19,정부 백신 패스 도입 논의,2021/10/01,"독일·프랑스·덴마크 등에서는 접종을 마친 사람과 코로나19에 걸렸다가 나은 사람한테 백신 패스를 주고, 없으면 다중이용시설에 못 들어가요. 이탈리아는 8월부터 공공장소에서 패스를 요구해왔고, 10월부터는 모든 노동자가 패스를 갖고 있어야 하고요. 하지만 프랑스에서는 7월부터 수십만 명이 “자유를 억압하지 말라”며 반대하는 시위를 3주 넘게 열었어요 🙅. 이런 반발에 영국도 도입하려다 미뤘고요. 반면에 중국·사우디아라비아처럼 도입해도 별다른 저항이 없는 나라도 있다고. ",https://www.joongang.co.kr/article/25008557
2,세계,독일 베를린 민간주택 몰수 주민투표,2021/09/30,인구 📈: 2000년대 초반에 젊은층·예술인이 주거비가 싼 베를린으로 몰려들면서 힙한 도시로 떠올랐어요. 월세는 쭉쭉 올랐고요.,https://www.joongang.co.kr/article/21675275#home
2,세계,독일 베를린 민간주택 몰수 주민투표,2021/09/30,"시민들은 거리로 나서 대책을 마련하라고 요구했어요. 그러자 베를린 시는 2019년에 월세 상한제 카드를 꺼냈어요 🔉: “2020년부터 집주인은 5년간 월세 마음대로 못 올린다!” 이후 주변 도시 월세가 오르는 등 부작용도 있었지만, 월세가 오를까 하는 걱정하는 시민이 줄었어요. ",https://www.hani.co.kr/arti/society/society_general/917260.html
2,세계,독일 베를린 민간주택 몰수 주민투표,2021/09/30,"비슷해요. 독일은 우리나라와 달리 필요할 경우 나라에서 돈을 물어주고, 땅을 공유재산으로 바꿀 수 있거든요(=토지공개념). 이런 법을 근거로 시민들은 부동산 회사 10여 곳의 주택 24만여 채를 시 정부가 강제로 싼값에 사들여서 주민들한테 주게끔 한 거예요. 투표 결과 찬성 56.4%로 통과됐고요(반대 39%). ",https://news.kbs.co.kr/news/view.do?ncd=5289458
3,환경,말라 죽어가는 침엽수,2021/09/30,나무 중에서도 침엽수가 죽고 있어요(사진).,https://img.khan.co.kr/news/2021/09/13/l_2021091301001663500139752.webp
3,환경,말라 죽어가는 침엽수,2021/09/30,6년 전부터 한라산·지리산 등 남부지방에서 침엽수가 말라 죽는 게 처음 발견됐는데요. 이제는 강원도 설악산의 침엽수들까지 죽고 있다고. 특히 지리산 일부에서는 침엽수의 80~90%가 죽어서 멸종 단계에 접어들었다는 말까지 나와요.,https://news.kbs.co.kr/news/view.do?ncd=5287187
3,환경,말라 죽어가는 침엽수,2021/09/30,기후위기가 가장 큰 원인이라는 의견을 중심으로 다양한 얘기가 나와요.,https://www.khan.co.kr/national/national-general/article/202109131201001
4,세계,반도체 기밀 요구하는 미국,2021/09/29,"쿵짜라 쿵짝 🎶! 요새 미국이 부르고 있는 노래라고 🇺🇸. 미국 정부가 지난 24일 삼성전자·TSMC·인텔 등 반도체 기업에 영업비밀을 적어내라고 요구했거든요: “반도체 얼마나 남았고, 만드는 데 얼마나 걸리고, 어느 회사에 파는지 등 45일 안에 싹 다 적어서 내!”",https://www.hankyung.com/economy/article/2021092661831
4,세계,반도체 기밀 요구하는 미국,2021/09/29,도대체 반도체가 왜 계속 부족한지 뜯어보겠다는 거예요. 미국은 올해 초부터 반도체가 부족해서 난리였잖아요. 바이든 대통령이 두 번이나 반도체 회사들 불러놓고 머리를 싸맸지만 여전히 반도체는 부족했고요. 결국 지난 23일에 세 번째 회의를 열고 직접 팔을 걷어붙인 것. 하지만 속마음은 미국에 반도체 더 많이 공급하게 하려는 거라는 얘기도 있어요.,https://www.mk.co.kr/news/world/view/2021/09/913676/
4,세계,반도체 기밀 요구하는 미국,2021/09/29,미국이 달라고 하는 내용(리스트) 대부분은 기업이 절대 공개하지 않는 핵심적인 정보예요 🔒. 특히 생산자가 적은 반도체 시장에서는 영업비밀에 해당하는 이런 정보를 지키는 게 더 중요해요. 왜냐하면:,https://file.mk.co.kr/meet/neds/2021/09/image_readbot_2021_916572_16326560544795711.jpg
4,세계,반도체 기밀 요구하는 미국,2021/09/29,"국방물자생산법 🧐: 1950년 한국전쟁 때 만들어진 미국 법으로, 전쟁 등 국가에 비상사태가 일어나면 정부가 특정 제품의 생산과 가격 등을 직접 통제할 수 있어요.",https://terms.naver.com/entry.naver?docId=5946186&cid=40942&categoryId=40507
